Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
FuselageGeom,100.956241,94.970896,54.518265,52.302648
MainWing,85.207437,84.732711,15.594475,15.594475
MainWing,85.207437,84.732711,15.594475,15.594475
Canard,13.306340,12.878006,0.560479,0.553190
Canard,13.306340,12.878006,0.560479,0.553190
Totals,297.983795,290.192329,86.828175,84.597983

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
FuselageGeom_S_Surf0,100.956241,94.970896
MainWing_S_Surf0,85.207437,84.732711
MainWing_S_Surf1,85.207437,84.732711
Canard_S_Surf0,13.306340,12.878006
Canard_S_Surf1,13.306340,12.878006
